INSTNM,CITY,STABBR,LOCALE,CIP11ASSOC,CIP11BACHL
Alabama A & M University,Normal,AL,12.0,0.0,2.0
University of Alabama at Birmingham,Birmingham,AL,12.0,0.0,2.0
Amridge University,Montgomery,AL,12.0,2.0,2.0
University of Alabama in Huntsville,Huntsville,AL,12.0,0.0,2.0
Alabama State University,Montgomery,AL,12.0,0.0,2.0
The University of Alabama,Tuscaloosa,AL,13.0,0.0,2.0
Auburn University at Montgomery,Montgomery,AL,12.0,0.0,2.0
Auburn University,AuburnUniversity,AL,13.0,0.0,2.0
Birmingham Southern College,Birmingham,AL,12.0,0.0,1.0
South University-Montgomery,Montgomery,AL,12.0,1.0,1.0
Faulkner University,Montgomery,AL,12.0,1.0,2.0
Gadsden State Community College,Gadsden,AL,13.0,2.0,0.0
J F Drake State Community and Technical College,Huntsville,AL,12.0,1.0,0.0
Jacksonville State University,Jacksonville,AL,13.0,0.0,2.0
Jefferson State Community College,Birmingham,AL,12.0,2.0,0.0
Lawson State Community College-Birmingham Campus,Birmingham,AL,12.0,1.0,0.0
Northwest-Shoals Community College,MuscleShoals,AL,13.0,2.0,0.0
University of North Alabama,Florence,AL,13.0,0.0,2.0
Oakwood University,Huntsville,AL,12.0,1.0,1.0
Bishop State Community College,Mobile,AL,12.0,1.0,0.0
Shelton State Community College,Tuscaloosa,AL,13.0,1.0,0.0
University of South Alabama,Mobile,AL,12.0,0.0,1.0
H Councill Trenholm State Technical College,Montgomery,AL,12.0,1.0,0.0
University of Alaska Anchorage,Anchorage,AK,11.0,2.0,2.0
Charter College-Anchorage,Anchorage,AK,11.0,2.0,2.0
Collins College,Phoenix,AZ,11.0,1.0,1.0
College America-Flagstaff,Flagstaff,AZ,13.0,1.0,1.0
Arizona State University-Tempe,Tempe,AZ,12.0,0.0,2.0
Arizona Western College,Yuma,AZ,13.0,2.0,0.0
University of Arizona,Tucson,AZ,11.0,0.0,2.0
Brown Mackie College-Tucson,Tucson,AZ,11.0,1.0,1.0
Anthem College-Phoenix,Phoenix,AZ,11.0,2.0,2.0
GateWay Community College,Phoenix,AZ,11.0,2.0,0.0
Mesa Community College,Mesa,AZ,11.0,2.0,0.0
ITT Technical Institute-Tempe,Tempe,AZ,12.0,1.0,1.0
Northern Arizona University,Flagstaff,AZ,13.0,0.0,2.0
Phoenix College,Phoenix,AZ,11.0,2.0,0.0
University of Phoenix-Phoenix Campus,Tempe,AZ,12.0,2.0,2.0
Pima Community College,Tucson,AZ,11.0,2.0,0.0
Rio Salado College,Tempe,AZ,12.0,2.0,0.0
South Mountain Community College,Phoenix,AZ,11.0,1.0,0.0
Western International University,Tempe,AZ,12.0,2.0,2.0
Yavapai College,Prescott,AZ,13.0,2.0,0.0
University of Arkansas at Little Rock,LittleRock,AR,12.0,1.0,2.0
University of Arkansas,Fayetteville,AR,13.0,0.0,2.0
University of Arkansas at Pine Bluff,PineBluff,AR,13.0,1.0,1.0
Arkansas State University-Main Campus,Jonesboro,AR,13.0,2.0,2.0
University of Central Arkansas,Conway,AR,13.0,1.0,1.0
Hendrix College,Conway,AR,13.0,0.0,1.0
Philander Smith College,LittleRock,AR,12.0,0.0,1.0
Southeast Arkansas College,PineBluff,AR,13.0,1.0,0.0
University of Arkansas-Fort Smith,FortSmith,AR,13.0,2.0,2.0
Academy of Art University,SanFrancisco,CA,11.0,2.0,2.0
ITT Technical Institute-Rancho Cordova,RanchoCordova,CA,13.0,1.0,1.0
Allan Hancock College,SantaMaria,CA,12.0,2.0,0.0
Art Center College of Design,Pasadena,CA,12.0,0.0,1.0
Bakersfield College,Bakersfield,CA,11.0,1.0,0.0
Bethesda University of California,Anaheim,CA,11.0,0.0,2.0
California Baptist University,Riverside,CA,11.0,0.0,2.0
California Institute of Technology,Pasadena,CA,12.0,0.0,1.0
California Lutheran University,ThousandOaks,CA,12.0,0.0,2.0
California State University-Bakersfield,Bakersfield,CA,11.0,0.0,2.0
California State University-San Bernardino,SanBernardino,CA,12.0,0.0,2.0
California State University-Chico,Chico,CA,13.0,0.0,2.0
California State University-Dominguez Hills,Carson,CA,13.0,0.0,2.0
California State University-Fresno,Fresno,CA,11.0,0.0,2.0
California State University-East Bay,Hayward,CA,12.0,0.0,2.0
California State University-Long Beach,LongBeach,CA,11.0,0.0,1.0
California State University-Los Angeles,LosAngeles,CA,11.0,0.0,1.0
California State University-Northridge,Northridge,CA,11.0,0.0,2.0
California State University-Sacramento,Sacramento,CA,11.0,0.0,1.0
University of California-Berkeley,Berkeley,CA,12.0,0.0,2.0
University of California-Irvine,Irvine,CA,12.0,0.0,1.0
University of California-Los Angeles,LosAngeles,CA,11.0,0.0,1.0
University of California-Riverside,Riverside,CA,11.0,0.0,1.0
University of California-San Diego,LaJolla,CA,11.0,0.0,1.0
University of California-Santa Cruz,SantaCruz,CA,13.0,0.0,1.0
California College San Diego,SanDiego,CA,11.0,1.0,1.0
Chabot College,Hayward,CA,12.0,1.0,0.0
Chapman University,Orange,CA,12.0,0.0,1.0
City College of San Francisco,SanFrancisco,CA,11.0,2.0,0.0
Coastline Community College,FountainValley,CA,13.0,1.0,0.0
Coleman University,SanDiego,CA,11.0,1.0,1.0
Cosumnes River College,Sacramento,CA,11.0,1.0,0.0
De Anza College,Cupertino,CA,13.0,1.0,0.0
East Los Angeles College,MontereyPark,CA,13.0,1.0,0.0
Empire College School of Business,SantaRosa,CA,12.0,1.0,0.0
Evergreen Valley College,SanJose,CA,11.0,2.0,0.0
Fresno City College,Fresno,CA,11.0,1.0,0.0
Glendale Community College,Glendale,CA,12.0,1.0,0.0
Golden Gate University-San Francisco,SanFrancisco,CA,11.0,0.0,2.0
Hartnell College,Salinas,CA,12.0,1.0,0.0
Heald College-Rancho Cordova,RanchoCordova,CA,13.0,1.0,0.0
Heald College-Fresno,Fresno,CA,11.0,1.0,0.0
Heald College-San Jose,Milpitas,CA,13.0,1.0,0.0
Heald College-San Francisco,SanFrancisco,CA,11.0,1.0,0.0
Holy Names University,Oakland,CA,11.0,0.0,1.0
Irvine Valley College,Irvine,CA,12.0,1.0,0.0
ITT Technical Institute-Orange,Orange,CA,12.0,1.0,1.0
The Art Institute of California-Argosy University San Diego,SanDiego,CA,11.0,1.0,1.0
Laney College,Oakland,CA,11.0,1.0,0.0
La Sierra University,Riverside,CA,11.0,0.0,1.0
Long Beach City College,LongBeach,CA,11.0,1.0,0.0
Los Angeles Harbor College,Wilmington,CA,11.0,1.0,0.0
Los Angeles Pierce College,WoodlandHills,CA,11.0,1.0,0.0
Los Angeles Trade Technical College,LosAngeles,CA,11.0,1.0,0.0
Los Angeles Valley College,ValleyGlen,CA,11.0,1.0,0.0
Los Angeles City College,LosAngeles,CA,11.0,1.0,0.0
Los Angeles Mission College,Sylmar,CA,11.0,1.0,0.0
The Art Institute of California-Argosy University San Francisco,SanFrancisco,CA,11.0,1.0,2.0
Loyola Marymount University,LosAngeles,CA,11.0,0.0,1.0
Merced College,Merced,CA,13.0,1.0,0.0
Mission College,SantaClara,CA,12.0,1.0,0.0
Modesto Junior College,Modesto,CA,12.0,2.0,0.0
Napa Valley College,Napa,CA,13.0,1.0,0.0
National University,LaJolla,CA,11.0,2.0,2.0
Occidental College,LosAngeles,CA,11.0,0.0,1.0
Orange Coast College,CostaMesa,CA,12.0,1.0,0.0
